--------------------------------------------------------
| x                                            | y     |
========================================================
| <http://purl.uniprot.org/citations/9356347>  | "237" |
| <http://purl.uniprot.org/citations/1926776>  | "185" |
| <http://sce.umkc.edu/#_5030434B3230002>      | "179" |
| <http://purl.uniprot.org/citations/3201751>  | "167" |
| <http://purl.uniprot.org/citations/8525613>  | "214" |
| <http://purl.uniprot.org/citations/1846491>  | "180" |
| <http://purl.uniprot.org/citations/19954808> | "397" |
| <http://purl.uniprot.org/citations/2219722>  | "179" |
| <http://purl.uniprot.org/citations/2219721>  | "179" |
| <http://purl.uniprot.org/citations/8806566>  | "223" |
| <http://purl.uniprot.org/citations/19900687> | "396" |
| <http://purl.uniprot.org/citations/20633916> | "405" |
| <http://sce.umkc.edu/#_503231303937002>      | "179" |
| <http://purl.uniprot.org/citations/12350360> | "300" |
| <http://purl.uniprot.org/citations/8291242>  | "198" |
| <http://purl.uniprot.org/citations/8030263>  | "202" |
| <http://purl.uniprot.org/citations/1962437>  | "185" |
| <http://purl.uniprot.org/citations/9581774>  | "244" |
| <http://purl.uniprot.org/citations/11831707> | "208" |
| <http://purl.uniprot.org/citations/9601507>  | "244" |
| <http://purl.uniprot.org/citations/12202212> | "300" |
| <http://purl.uniprot.org/citations/11448171> | "286" |
| <http://purl.uniprot.org/citations/1381540>  | "190" |
| <http://purl.uniprot.org/citations/15165820> | "323" |
| <http://purl.uniprot.org/citations/20947114> | "408" |
--------------------------------------------------------
